unique_id	uniprot_domain
P30559_chainsaw_001	36-341
P30566_chainsaw_001	16-98
P30566_chainsaw_002	112-365_467-473
P30566_chainsaw_003	366-448
P30613_chainsaw_001	18-75
P30613_chainsaw_002	89-159_259-431
P30613_chainsaw_003	162-253
P30613_chainsaw_004	434-573
P30622_chainsaw_001	62-171_197-203_210-245_247-1310_1320-1326_1340-1345
P30622_chainsaw_002	1311-1319_1327-1339_1346-1431
P30626_chainsaw_001	34-197
P30679_chainsaw_001	34-69_187-371
P30679_chainsaw_002	72-184
P30711_chainsaw_001	3-83
P30711_chainsaw_002	84-216
P30740_chainsaw_001	1-170_277-326
P30740_chainsaw_002	177-276_328-376
P30793_chainsaw_001	61-109
P30793_chainsaw_002	113-248
P30825_chainsaw_001	1-1_16-421
P30825_chainsaw_002	422-604_616-616
P30837_chainsaw_001	39-286_485-511
P30837_chainsaw_002	291-470
P30838_chainsaw_001	3-211_402-430
P30838_chainsaw_002	216-395
P30872_chainsaw_001	43-338
P30874_chainsaw_001	40-319
P30876_chainsaw_001	19-37_531-703
P30876_chainsaw_002	40-198_387-526
P30876_chainsaw_003	199-377
P30876_chainsaw_004	714-808_929-1055
P30876_chainsaw_005	809-927
P30876_chainsaw_006	1078-1165
P30926_chainsaw_001	26-230
P30926_chainsaw_002	232-357_437-488
P30939_chainsaw_001	6-219_262-363
P30939_chainsaw_002	220-261
P30953_chainsaw_001	11-313
P30954_chainsaw_001	22-317
P30968_chainsaw_001	20-327
P30988_chainsaw_001	3-130
P30988_chainsaw_002	139-397
P30988_chainsaw_003	398-434
P30989_chainsaw_001	52-374
P30990_chainsaw_001	2-153
P31025_chainsaw_001	2-167
P31040_chainsaw_001	42-100_210-254
P31040_chainsaw_002	101-209_410-473
P31040_chainsaw_003	260-291_479-643
P31040_chainsaw_004	293-409
P31146_chainsaw_001	15-351
P31150_chainsaw_001	4-102_229-290_389-442
P31150_chainsaw_002	107-224
P31150_chainsaw_003	225-228_291-388
P31151_chainsaw_001	5-91
P31152_chainsaw_001	1-320
P31153_chainsaw_001	17-27_146-261
P31153_chainsaw_002	30-122
P31153_chainsaw_003	136-145_264-388
P31213_chainsaw_001	7-238
P31249_chainsaw_001	162-256
P31260_chainsaw_001	345-408
P31267_chainsaw_001	138-218
P31268_chainsaw_001	121-191
P31269_chainsaw_001	196-269
P31270_chainsaw_001	138-309
P31273_chainsaw_001	158-240
P31274_chainsaw_001	182-259
P31275_chainsaw_001	223-280
P31276_chainsaw_001	269-323
P31314_chainsaw_001	177-308
P31321_chainsaw_001	10-72
P31321_chainsaw_002	107-236
P31321_chainsaw_003	238-380
P31323_chainsaw_001	9-49
P31323_chainsaw_002	126-259
P31323_chainsaw_003	260-407
P31327_chainsaw_001	45-197
P31327_chainsaw_002	200-408
P31327_chainsaw_003	424-543_1488-1497
P31327_chainsaw_004	544-921
P31327_chainsaw_005	925-1071
P31327_chainsaw_006	1080-1339
P31327_chainsaw_007	1342-1478
P31350_chainsaw_001	46-46_58-357
P31358_chainsaw_001	1-60
P31371_chainsaw_001	58-190
P31391_chainsaw_001	39-317
P31391_chainsaw_002	318-348
P31415_chainsaw_001	50-157
P31415_chainsaw_002	161-259
P31415_chainsaw_003	264-382
P31483_chainsaw_001	8-80
P31483_chainsaw_002	106-181
P31483_chainsaw_003	202-290
P31512_chainsaw_001	4-149_330-417
P31512_chainsaw_002	152-326
P31512_chainsaw_003	430-546
P31513_chainsaw_001	4-149_331-441
P31513_chainsaw_002	152-327
P31513_chainsaw_003	447-531
P31639_chainsaw_001	23-448
P31639_chainsaw_002	452-555
P31639_chainsaw_003	574-671
P31641_chainsaw_001	1-35
P31641_chainsaw_002	47-462
P31641_chainsaw_003	465-592
P31644_chainsaw_001	36-255
P31644_chainsaw_002	257-450
P31645_chainsaw_001	85-495
P31645_chainsaw_002	496-619
P31689_chainsaw_001	5-92
P31689_chainsaw_002	107-245
P31689_chainsaw_003	251-327
P31749_chainsaw_001	6-122
P31749_chainsaw_002	150-418
P31751_chainsaw_001	6-113
P31751_chainsaw_002	149-419
P31751_chainsaw_003	441-476
P31785_chainsaw_001	52-153
P31785_chainsaw_002	158-246
P31785_chainsaw_003	257-321
P31930_chainsaw_001	38-251
P31930_chainsaw_002	273-474
P31937_chainsaw_001	42-200
P31937_chainsaw_002	204-330
P31939_chainsaw_001	6-196
P31939_chainsaw_002	205-381_390-397_401-514
P31939_chainsaw_003	398-400_520-585
P31941_chainsaw_001	15-196
P31942_chainsaw_001	17-95
P31942_chainsaw_002	195-269
P31943_chainsaw_001	11-100
P31943_chainsaw_002	112-194
P31943_chainsaw_003	289-363
P31944_chainsaw_001	17-234
P31946_chainsaw_001	5-239
P31947_chainsaw_001	3-238
P31948_chainsaw_001	1-123
P31948_chainsaw_002	124-183
P31948_chainsaw_003	215-352
P31948_chainsaw_004	353-477
P31948_chainsaw_005	482-537
P31949_chainsaw_001	9-98
P31994_chainsaw_001	51-129
P31994_chainsaw_002	133-215
P31995_chainsaw_001	51-129
P31995_chainsaw_002	133-215
P31997_chainsaw_001	37-141
P31997_chainsaw_002	148-230
P31997_chainsaw_003	241-319
P32004_chainsaw_001	24-133_332-421
P32004_chainsaw_002	146-331
P32004_chainsaw_003	424-515
P32004_chainsaw_004	519-609
P32004_chainsaw_005	617-709
P32004_chainsaw_006	719-806
P32004_chainsaw_007	817-913
P32004_chainsaw_008	925-1011
P32004_chainsaw_009	1022-1112
P32019_chainsaw_001	3-147
P32019_chainsaw_002	334-646
P32019_chainsaw_003	670-779
P32019_chainsaw_004	788-990
P32119_chainsaw_001	10-144
P32119_chainsaw_002	152-197
P32121_chainsaw_001	7-175_383-390
P32121_chainsaw_002	184-345
P32189_chainsaw_001	12-312
P32189_chainsaw_002	321-516
P32238_chainsaw_001	41-254_280-384
P32239_chainsaw_001	46-251_314-408
P32241_chainsaw_001	9-23_126-397
P32241_chainsaw_002	27-122
P32242_chainsaw_001	47-101
P32243_chainsaw_001	47-102
P32245_chainsaw_001	9-320
P32246_chainsaw_001	26-306
P32246_chainsaw_002	307-341
P32247_chainsaw_001	44-346
P32248_chainsaw_001	4-343
P32249_chainsaw_001	26-311
P32249_chainsaw_002	315-357
P32297_chainsaw_001	33-239
P32297_chainsaw_002	241-362_459-502
P32297_chainsaw_003	374-458
P32298_chainsaw_001	3-27_179-267_475-519
P32298_chainsaw_002	29-178
P32298_chainsaw_003	270-459
P32302_chainsaw_001	44-325
P32302_chainsaw_002	327-370
P32314_chainsaw_001	54-203
P32314_chainsaw_002	386-428
P32320_chainsaw_001	12-143
P32321_chainsaw_001	15-170
P32322_chainsaw_001	3-172
P32322_chainsaw_002	174-293
P32418_chainsaw_001	11-265_734-967
P32418_chainsaw_002	314-397_719-731
P32418_chainsaw_003	407-532
P32418_chainsaw_004	539-717
P32455_chainsaw_001	11-309_574-588
P32455_chainsaw_002	312-395_518-573
P32455_chainsaw_003	396-517
P32456_chainsaw_001	11-307_574-584
P32456_chainsaw_002	310-392_516-573
P32456_chainsaw_003	393-515
P32519_chainsaw_001	210-289
P32745_chainsaw_001	37-329
P32754_chainsaw_001	2-178
P32754_chainsaw_002	179-378
P32780_chainsaw_001	8-111
P32780_chainsaw_002	112-159_448-547
P32780_chainsaw_003	177-358
P32780_chainsaw_004	397-434
P32856_chainsaw_001	23-241
P32881_chainsaw_001	28-188
P32926_chainsaw_001	58-152_784-802
P32926_chainsaw_002	156-258
P32926_chainsaw_003	266-375
P32926_chainsaw_004	381-484
P32926_chainsaw_005	494-595
P32927_chainsaw_001	1-115
P32927_chainsaw_002	127-236
P32927_chainsaw_003	246-325
P32927_chainsaw_004	334-446
P32929_chainsaw_001	18-259
P32929_chainsaw_002	260-397
P32942_chainsaw_001	34-114
P32942_chainsaw_002	119-216
P32942_chainsaw_003	224-312
P32942_chainsaw_004	318-397
P32942_chainsaw_005	398-480
P32969_chainsaw_001	3-86
P32969_chainsaw_002	88-186
P32970_chainsaw_001	57-192
P32971_chainsaw_001	86-232
P33032_chainsaw_001	6-319
P33076_chainsaw_001	336-571
P33076_chainsaw_002	573-794
P33076_chainsaw_003	798-1128
P33121_chainsaw_001	3-46
P33121_chainsaw_002	61-529
P33121_chainsaw_003	560-695
P33151_chainsaw_001	53-142
P33151_chainsaw_002	150-249
P33151_chainsaw_003	257-364
P33151_chainsaw_004	371-470
P33151_chainsaw_005	478-586
P33151_chainsaw_006	704-775
P33176_chainsaw_001	6-334
P33176_chainsaw_002	337-390
P33176_chainsaw_003	415-911
P33240_chainsaw_001	9-104
P33240_chainsaw_002	123-192
P33240_chainsaw_003	532-573
P33241_chainsaw_001	294-333
P33260_chainsaw_001	3-100_365-394
P33260_chainsaw_002	101-364_395-489
P33261_chainsaw_001	3-100_365-396
P33261_chainsaw_002	101-364_397-489
P33316_chainsaw_001	115-224
P33402_chainsaw_001	87-295
P33402_chainsaw_002	313-450
P33402_chainsaw_003	500-699
P33527_chainsaw_001	18-220
P33527_chainsaw_002	225-624_951-1269
P33527_chainsaw_003	631-871
P33527_chainsaw_004	1293-1528
P33552_chainsaw_001	7-72
P33681_chainsaw_001	36-139
P33681_chainsaw_002	146-231
P33763_chainsaw_001	4-91
P33764_chainsaw_001	4-90
P33778_chainsaw_001	38-125
P33897_chainsaw_001	12-442
P33897_chainsaw_002	466-683
P33908_chainsaw_001	113-165
P33908_chainsaw_002	190-639
P33947_chainsaw_001	3-209
P33981_chainsaw_001	48-209
P33981_chainsaw_002	517-837
P33991_chainsaw_001	143-263
P33991_chainsaw_002	281-423
P33991_chainsaw_003	434-788
P33991_chainsaw_004	792-862
P33992_chainsaw_001	18-161_220-301
P33992_chainsaw_002	162-218
P33992_chainsaw_003	316-655
P33992_chainsaw_004	666-732
P33993_chainsaw_001	6-305
P33993_chainsaw_002	321-643
P33993_chainsaw_003	657-718
P34059_chainsaw_001	32-382
P34059_chainsaw_002	383-478
P34059_chainsaw_003	488-517
P34096_chainsaw_001	27-145
P34130_chainsaw_001	99-205
P34810_chainsaw_001	158-313
P34820_chainsaw_001	38-71_256-401
P34820_chainsaw_002	72-254
P34896_chainsaw_001	31-54_320-473
P34896_chainsaw_002	59-319
P34897_chainsaw_001	54-77_343-495
P34897_chainsaw_002	82-342
P34903_chainsaw_001	63-273
P34903_chainsaw_002	275-371_446-490
P34913_chainsaw_001	5-16_99-217
P34913_chainsaw_002	19-98
P34913_chainsaw_003	234-365_469-546
P34913_chainsaw_004	371-468
P34925_chainsaw_001	64-194
P34925_chainsaw_002	313-604
P34931_chainsaw_001	8-230_310-397
P34931_chainsaw_002	232-309
P34931_chainsaw_003	398-504
P34931_chainsaw_004	515-615
P34932_chainsaw_001	4-231_317-396
P34932_chainsaw_002	233-316
P34932_chainsaw_003	397-504_572-585
P34932_chainsaw_004	608-784
P34947_chainsaw_001	1-27_178-266_473-518
P34947_chainsaw_002	29-177_519-524
P34947_chainsaw_003	269-458
P34949_chainsaw_001	6-107_119-141_324-420
P34949_chainsaw_002	109-118_142-323
P34969_chainsaw_001	78-422
P34969_chainsaw_002	423-476
P34972_chainsaw_001	1-305
P34981_chainsaw_001	11-336
P34982_chainsaw_001	11-311
P34995_chainsaw_001	36-244_265-365
P34998_chainsaw_001	6-87
P34998_chainsaw_002	106-369
P35030_chainsaw_001	85-302
P35052_chainsaw_001	32-91_230-305_374-472
P35052_chainsaw_002	92-229_306-373
P35070_chainsaw_001	12-171
P35080_chainsaw_001	4-138
P35125_chainsaw_001	7-351
P35125_chainsaw_002	509-711_1029-1118_1276-1405
P35125_chainsaw_003	716-803_865-1020
P35212_chainsaw_001	4-245
P35218_chainsaw_001	68-294
P35219_chainsaw_001	37-287
P35221_chainsaw_001	6-154
P35221_chainsaw_002	155-272_452-483
P35221_chainsaw_003	277-390
P35221_chainsaw_004	391-451_484-642
P35221_chainsaw_005	669-902
P35222_chainsaw_001	4-102
P35222_chainsaw_002	121-523_525-525
P35222_chainsaw_003	524-524_526-683
P35225_chainsaw_001	39-142
P35226_chainsaw_001	9-121
P35226_chainsaw_002	130-229
P35227_chainsaw_001	9-122
P35227_chainsaw_002	130-231
P35228_chainsaw_001	85-506
P35228_chainsaw_002	516-698
P35228_chainsaw_003	706-949
P35228_chainsaw_004	955-1142
P35232_chainsaw_001	1-68
P35232_chainsaw_002	72-177
P35232_chainsaw_003	178-253
P35236_chainsaw_001	82-353
P35237_chainsaw_001	1-172_276-322
P35237_chainsaw_002	179-275_323-373
P35240_chainsaw_001	21-98
P35240_chainsaw_002	112-217_524-594
P35240_chainsaw_003	220-311
P35240_chainsaw_004	317-477
P35241_chainsaw_001	5-82
P35241_chainsaw_002	96-196
P35241_chainsaw_003	204-298_489-581
P35243_chainsaw_001	11-198
P35244_chainsaw_001	4-112
P35247_chainsaw_001	257-374
P35249_chainsaw_001	40-198
P35249_chainsaw_002	204-266
P35249_chainsaw_003	271-361
P35250_chainsaw_001	38-189
P35250_chainsaw_002	195-255
P35250_chainsaw_003	260-348
P35251_chainsaw_001	381-383_385-501
P35251_chainsaw_002	586-777
P35251_chainsaw_003	778-953
P35251_chainsaw_004	961-1067
P35268_chainsaw_001	19-114
P35269_chainsaw_001	16-148
P35269_chainsaw_002	456-514
P35270_chainsaw_001	8-257
P35318_chainsaw_001	1-141
P35346_chainsaw_001	34-321
P35348_chainsaw_001	23-344
P35348_chainsaw_002	374-423
P35354_chainsaw_001	1-108
P35354_chainsaw_002	125-200_375-522
P35354_chainsaw_003	217-374_523-556
P35367_chainsaw_001	6-232_396-483
P35368_chainsaw_001	42-366
P35372_chainsaw_001	67-352
P35372_chainsaw_002	357-394
P35398_chainsaw_001	62-172
P35398_chainsaw_002	270-512
P35408_chainsaw_001	21-339
P35410_chainsaw_001	19-52
P35410_chainsaw_002	56-337
P35414_chainsaw_001	29-315
P35442_chainsaw_001	26-224
P35442_chainsaw_002	270-352
P35442_chainsaw_003	513-648
P35442_chainsaw_004	1008-1160_1162-1162
P35443_chainsaw_001	29-201
P35443_chainsaw_002	290-383
P35443_chainsaw_003	733-960
P35452_chainsaw_001	211-268
P35453_chainsaw_001	285-342
P35462_chainsaw_001	22-217_318-399
P35475_chainsaw_001	30-42_352-541
P35475_chainsaw_002	49-346
P35475_chainsaw_003	552-638
P35498_chainsaw_001	19-228
P35498_chainsaw_002	233-428_910-995
P35498_chainsaw_003	764-909_996-1027_1348-1493
P35498_chainsaw_004	1183-1347_1667-1789
P35498_chainsaw_005	1502-1666_1790-1797
P35498_chainsaw_006	1802-1913
P35499_chainsaw_001	14-231
P35499_chainsaw_002	236-464_694-809
P35499_chainsaw_003	465-693
P35499_chainsaw_004	821-858
P35499_chainsaw_005	996-1184_1478-1602
P35499_chainsaw_006	1187-1305
P35499_chainsaw_007	1314-1477_1603-1607
P35499_chainsaw_008	1614-1722
P35499_chainsaw_009	1723-1779
P35503_chainsaw_001	30-279_452-480
P35503_chainsaw_002	289-449
P35503_chainsaw_003	481-520
P35504_chainsaw_001	30-279_452-481
P35504_chainsaw_002	289-449
P35504_chainsaw_003	484-520
P35520_chainsaw_001	60-113_223-404
P35520_chainsaw_002	118-219
P35520_chainsaw_003	414-550
P35523_chainsaw_001	116-585
P35523_chainsaw_002	598-665_798-874
P35527_chainsaw_001	149-468
P35542_chainsaw_001	1-121
P35548_chainsaw_001	151-212
P35555_chainsaw_001	58-179
P35555_chainsaw_002	180-294_621-765
P35555_chainsaw_003	303-389
P35555_chainsaw_004	463-618
P35555_chainsaw_005	768-813
P35555_chainsaw_006	819-943
P35555_chainsaw_007	950-1069
P35555_chainsaw_008	1070-1391
P35555_chainsaw_009	206-299_304-307
P35555_chainsaw_010	303-303_310-389
P35555_chainsaw_011	452-645
P35555_chainsaw_012	652-813
P35555_chainsaw_013	819-943
P35555_chainsaw_014	950-1070
P35555_chainsaw_015	1084-1519
P35555_chainsaw_016	1526-1588
P35555_chainsaw_017	463-618
P35555_chainsaw_018	626-806
P35555_chainsaw_019	810-951
P35555_chainsaw_020	952-982
P35555_chainsaw_021	987-1519
P35555_chainsaw_022	1526-1653
P35555_chainsaw_023	1662-1792
P35555_chainsaw_024	602-807
P35555_chainsaw_025	811-943
P35555_chainsaw_026	950-1070
P35555_chainsaw_027	1084-1519
P35555_chainsaw_028	1526-1653
P35555_chainsaw_029	1662-1813
P35555_chainsaw_030	1822-1999
P35555_chainsaw_031	810-943
P35555_chainsaw_032	950-1076
P35555_chainsaw_033	1084-1492
P35555_chainsaw_034	1501-1652
P35555_chainsaw_035	1653-1653_1655-2046
P35555_chainsaw_036	2053-2191
P35555_chainsaw_037	1002-1075
P35555_chainsaw_038	1084-1519
P35555_chainsaw_039	1526-1648
P35555_chainsaw_040	1662-2152
P35555_chainsaw_041	2157-2324
P35555_chainsaw_042	2331-2389
P35555_chainsaw_043	1204-1519
P35555_chainsaw_044	1526-1671_1674-1674_1678-1679_1682-1682
P35555_chainsaw_045	1672-1673_1675-1677_1680-1681_1683-2152
P35555_chainsaw_046	2157-2444
P35555_chainsaw_047	2447-2590
P35555_chainsaw_048	1407-1510_2158-2158_2162-2171_2754-2787
P35555_chainsaw_049	1511-1653
P35555_chainsaw_050	1662-2157_2159-2160
P35555_chainsaw_051	2179-2324
P35555_chainsaw_052	2331-2689
P35555_chainsaw_053	1609-1673
P35555_chainsaw_054	1678-1812
P35555_chainsaw_055	1813-2046
P35555_chainsaw_056	2053-2296
P35555_chainsaw_057	2297-2689
P35555_chainsaw_058	2762-2870
P35556_chainsaw_001	88-203
P35556_chainsaw_002	209-351
P35556_chainsaw_003	358-416
P35556_chainsaw_004	497-677_679-679
P35556_chainsaw_005	680-870_872-873
P35556_chainsaw_006	874-995
P35556_chainsaw_007	996-1115
P35556_chainsaw_008	1129-1395
P35556_chainsaw_009	202-340
P35556_chainsaw_010	341-418
P35556_chainsaw_011	497-698
P35556_chainsaw_012	699-858
P35556_chainsaw_013	864-988
P35556_chainsaw_014	995-1119
P35556_chainsaw_015	1120-1576_1579-1580
P35556_chainsaw_016	497-681
P35556_chainsaw_017	682-869
P35556_chainsaw_018	872-988
P35556_chainsaw_019	995-1118
P35556_chainsaw_020	1119-1572
P35556_chainsaw_021	1576-1698
P35556_chainsaw_022	1707-1791
P35556_chainsaw_023	606-697
P35556_chainsaw_024	698-852
P35556_chainsaw_025	855-988
P35556_chainsaw_026	995-1115
P35556_chainsaw_027	1129-1564
P35556_chainsaw_028	1571-1726
P35556_chainsaw_029	1731-1999
P35556_chainsaw_030	813-988
P35556_chainsaw_031	995-1119
P35556_chainsaw_032	1120-1564
P35556_chainsaw_033	1571-1726
P35556_chainsaw_034	1732-2082
P35556_chainsaw_035	2087-2197
P35556_chainsaw_036	1003-1139_1142-1142
P35556_chainsaw_037	1140-1141_1144-1564
P35556_chainsaw_038	1571-1731
P35556_chainsaw_039	1733-2089
P35556_chainsaw_040	2096-2395
P35556_chainsaw_041	1203-1572
P35556_chainsaw_042	1576-1732
P35556_chainsaw_043	1733-2089
P35556_chainsaw_044	2096-2371
P35556_chainsaw_045	2378-2599
P35556_chainsaw_046	1423-1537
P35556_chainsaw_047	1546-1718
P35556_chainsaw_048	1724-1834
P35556_chainsaw_049	1883-2089
P35556_chainsaw_050	2096-2371
P35556_chainsaw_051	2378-2735
P35556_chainsaw_052	1603-1733
P35556_chainsaw_053	1734-2089
P35556_chainsaw_054	2096-2364
P35556_chainsaw_055	2365-2736
P35556_chainsaw_056	2803-2911
P35557_chainsaw_001	1-52_260-430
P35557_chainsaw_002	58-259_441-464
P35558_chainsaw_001	11-258
P35558_chainsaw_002	261-331_418-621
P35558_chainsaw_003	332-412
P35568_chainsaw_001	13-263
P35573_chainsaw_001	7-114
P35573_chainsaw_002	115-220_486-851
P35573_chainsaw_003	222-485
P35573_chainsaw_004	854-1049
P35573_chainsaw_005	1068-1531
P35575_chainsaw_001	1-257
P35575_chainsaw_002	258-350
P35579_chainsaw_001	1-763
P35579_chainsaw_002	767-792_1057-1545_1782-1864
P35579_chainsaw_003	793-1056_1546-1781
P35580_chainsaw_001	11-776_780-780
P35580_chainsaw_002	777-779_781-1929
P35590_chainsaw_001	25-334
P35590_chainsaw_002	346-444
P35590_chainsaw_003	448-539
P35590_chainsaw_004	550-639
P35590_chainsaw_005	648-736
P35590_chainsaw_006	758-818
P35590_chainsaw_007	836-1135
P35606_chainsaw_001	7-299
P35606_chainsaw_002	306-606
P35606_chainsaw_003	607-839
P35609_chainsaw_001	34-261
P35609_chainsaw_002	262-280_822-889
P35609_chainsaw_003	281-392_632-819
P35609_chainsaw_004	393-631
P35610_chainsaw_001	128-302
P35610_chainsaw_002	320-539
P35611_chainsaw_001	33-100
P35611_chainsaw_002	132-387
P35611_chainsaw_003	496-585
P35612_chainsaw_001	29-95
P35612_chainsaw_002	120-375
P35612_chainsaw_003	416-580
P35613_chainsaw_001	24-137
P35613_chainsaw_002	142-217
P35613_chainsaw_003	223-319
P35625_chainsaw_001	31-127_136-139
P35625_chainsaw_002	129-135_140-195
P35626_chainsaw_001	1-27_524-547
P35626_chainsaw_002	38-184_513-523
P35626_chainsaw_003	188-512
P35626_chainsaw_004	561-664
P35637_chainsaw_001	286-368
P35638_chainsaw_001	15-168
P35658_chainsaw_001	11-405
P35658_chainsaw_002	701-861_863-873_875-877_895-901_907-911_913-915_930-1103
P35658_chainsaw_003	862-862_874-874_878-894_902-906_912-912_916-923
P35659_chainsaw_001	92-184
P35659_chainsaw_002	322-372
P35670_chainsaw_001	58-125
P35670_chainsaw_002	143-214
P35670_chainsaw_003	257-326
P35670_chainsaw_004	359-427
P35670_chainsaw_005	488-561_639-639_900-907
P35670_chainsaw_006	565-638_797-899
P35670_chainsaw_007	643-796_908-1020_1314-1375
P35670_chainsaw_008	1023-1029_1198-1313_1381-1404
P35670_chainsaw_009	1033-1197
P35680_chainsaw_001	7-295
P35711_chainsaw_001	139-506
P35711_chainsaw_002	562-662
P35712_chainsaw_001	159-684
P35713_chainsaw_001	71-148
P35713_chainsaw_002	314-380
P35716_chainsaw_001	55-112
P35749_chainsaw_001	11-70_72-777
P35749_chainsaw_002	778-842
P35749_chainsaw_003	846-1875_1878-1878
P35754_chainsaw_001	2-102
P35789_chainsaw_001	6-326_329-336
P35789_chainsaw_002	327-328_340-454
P35789_chainsaw_003	461-616
P35790_chainsaw_001	79-207
P35790_chainsaw_002	211-455
P35813_chainsaw_001	4-290
P35813_chainsaw_002	299-365
P35858_chainsaw_001	530-602
P35869_chainsaw_001	35-271
P35869_chainsaw_002	277-557
P35869_chainsaw_003	577-644
P35900_chainsaw_001	68-423
P35908_chainsaw_001	190-491
P35913_chainsaw_001	5-227
P35913_chainsaw_002	228-438
P35913_chainsaw_003	450-797
P35914_chainsaw_001	23-322
P35916_chainsaw_001	31-133
P35916_chainsaw_002	144-224
P35916_chainsaw_003	229-328
P35916_chainsaw_004	332-420
P35916_chainsaw_005	421-552
P35916_chainsaw_006	555-673
P35916_chainsaw_007	679-774
P35916_chainsaw_008	824-945_1004-1108
P35916_chainsaw_009	946-1003_1115-1174
P35968_chainsaw_001	33-119
P35968_chainsaw_002	133-219
P35968_chainsaw_003	223-325
P35968_chainsaw_004	329-419
P35968_chainsaw_005	420-548
P35968_chainsaw_006	551-659
P35968_chainsaw_007	665-755
P35968_chainsaw_008	813-1169
P35998_chainsaw_001	27-64
P35998_chainsaw_002	80-153
P35998_chainsaw_003	159-342
P35998_chainsaw_004	348-431
P36021_chainsaw_001	99-278
P36021_chainsaw_002	314-508
P36222_chainsaw_001	23-261_326-381
P36222_chainsaw_002	262-325
P36268_chainsaw_001	37-261_380-441
P36268_chainsaw_002	265-379_449-568
P36269_chainsaw_001	40-266_384-466
P36269_chainsaw_002	267-383_468-585
P36382_chainsaw_001	4-240
P36383_chainsaw_001	2-270
P36383_chainsaw_002	301-360
P36404_chainsaw_001	3-181
P36405_chainsaw_001	3-180
P36406_chainsaw_001	46-104
P36406_chainsaw_002	137-231
P36406_chainsaw_003	232-278
P36406_chainsaw_004	280-380
P36406_chainsaw_005	389-565
P36507_chainsaw_001	26-179
P36507_chainsaw_002	180-387
P36508_chainsaw_001	6-44
P36508_chainsaw_002	60-300_302-310
P36508_chainsaw_003	301-301_313-394
P36508_chainsaw_004	448-555
P36537_chainsaw_001	24-279_452-480
P36537_chainsaw_002	289-449
P36537_chainsaw_003	481-524
P36542_chainsaw_001	28-59_251-268
P36542_chainsaw_002	60-250
P36543_chainsaw_001	88-216
P36544_chainsaw_001	24-228
P36544_chainsaw_002	230-351_452-500
P36551_chainsaw_001	115-447
P36575_chainsaw_001	2-170_353-384
P36575_chainsaw_002	180-349
P36578_chainsaw_001	7-49_111-264
P36578_chainsaw_002	318-367
P36639_chainsaw_001	4-152
P36776_chainsaw_001	108-225_266-376
P36776_chainsaw_002	392-466
P36776_chainsaw_003	480-657
P36776_chainsaw_004	663-746
P36776_chainsaw_005	764-958
P36871_chainsaw_001	5-192
P36871_chainsaw_002	193-423
P36871_chainsaw_003	424-561
P36873_chainsaw_001	4-296
P36888_chainsaw_001	33-161
P36888_chainsaw_002	167-345
P36888_chainsaw_003	349-435
P36888_chainsaw_004	437-529
P36888_chainsaw_005	577-721_773-956
P36894_chainsaw_001	52-125
P36894_chainsaw_002	206-530
P36896_chainsaw_001	32-96
P36896_chainsaw_002	179-283
P36896_chainsaw_003	288-503
P36897_chainsaw_001	34-101
P36897_chainsaw_002	177-281
P36897_chainsaw_003	286-499
P36915_chainsaw_001	90-108_421-543
P36915_chainsaw_002	110-411
P36941_chainsaw_001	20-114
P36941_chainsaw_002	223-358
P36952_chainsaw_001	1-169_278-323
P36952_chainsaw_002	170-277_324-372
P36954_chainsaw_001	64-124
P36955_chainsaw_001	50-215_319-364
P36955_chainsaw_002	217-318_365-412
P36956_chainsaw_001	8-50_832-832_867-1140
P36956_chainsaw_002	322-549
P36956_chainsaw_003	550-831_833-864
P36957_chainsaw_001	70-145
P36957_chainsaw_002	229-451
P36959_chainsaw_001	15-28_301-335
P36959_chainsaw_002	29-245
P36959_chainsaw_003	255-296
P36980_chainsaw_001	22-78
P36980_chainsaw_002	84-142
P36980_chainsaw_003	158-204
P36980_chainsaw_004	207-269
P37023_chainsaw_001	7-90
P37023_chainsaw_002	198-278
P37023_chainsaw_003	283-494
P37058_chainsaw_001	30-279
P37059_chainsaw_001	7-75
P37059_chainsaw_002	84-268_315-338
P37059_chainsaw_003	273-314_341-384
P37088_chainsaw_001	55-116_539-592
P37088_chainsaw_002	125-135_267-389_477-537
P37088_chainsaw_003	141-261
P37088_chainsaw_004	394-474
P37108_chainsaw_001	2-91
P37173_chainsaw_001	38-148
P37173_chainsaw_002	244-552
P37198_chainsaw_001	330-520
P37231_chainsaw_001	148-231
P37231_chainsaw_002	234-501
P37235_chainsaw_001	10-108
P37235_chainsaw_002	115-190
P37268_chainsaw_001	38-371
P37275_chainsaw_001	409-443_445-446_878-880_882-883_885-995
P37287_chainsaw_001	34-208_385-467
P37287_chainsaw_002	212-382
P37288_chainsaw_001	48-361
P37802_chainsaw_001	9-150
P37837_chainsaw_001	14-333
P38117_chainsaw_001	5-214
P38159_chainsaw_001	9-83
P38398_chainsaw_001	7-7_9-9_41-58_61-98_101-101_1644-1844
P38405_chainsaw_001	35-69_189-378
P38405_chainsaw_002	72-186
P38432_chainsaw_001	6-85
P38432_chainsaw_002	461-563
P38435_chainsaw_001	14-387
P38435_chainsaw_002	406-605
P38435_chainsaw_003	606-673
P38435_chainsaw_004	674-738
P38484_chainsaw_001	34-136
P38484_chainsaw_002	144-237
P38484_chainsaw_003	242-307
P38567_chainsaw_001	50-389
P38567_chainsaw_002	405-468
P38570_chainsaw_001	27-161_397-674
P38570_chainsaw_002	201-386
P38570_chainsaw_003	679-817
